#	Name:   Map from MSX Japanese (video) character set to Unicode
#	Date:   2021 November 21
#	Author: Rebecca Bettencourt <support@kreativekorp.com>

0x00	0x0000	# NULL
0x91	0x3042	# HIRAGANA LETTER A
0x92	0x3044	# HIRAGANA LETTER I
0x93	0x3046	# HIRAGANA LETTER U
0x94	0x3048	# HIRAGANA LETTER E
0x95	0x304A	# HIRAGANA LETTER O
0x96	0x304B	# HIRAGANA LETTER KA
0x97	0x304D	# HIRAGANA LETTER KI
0x98	0x304F	# HIRAGANA LETTER KU
0x99	0x3051	# HIRAGANA LETTER KE
0x9A	0x3053	# HIRAGANA LETTER KO
0x9B	0x3055	# HIRAGANA LETTER SA
0x9C	0x3057	# HIRAGANA LETTER SI
0x9D	0x3059	# HIRAGANA LETTER SU
0x9E	0x305B	# HIRAGANA LETTER SE
0x9F	0x305D	# HIRAGANA LETTER SO
0xA0	0x3000	# IDEOGRAPHIC SPACE
0xA1	0x3002	# IDEOGRAPHIC FULL STOP
0xA2	0x300C	# LEFT CORNER BRACKET
0xA3	0x300D	# RIGHT CORNER BRACKET
0xA4	0x3001	# IDEOGRAPHIC COMMA
0xA5	0x30FB	# KATAKANA MIDDLE DOT
0xA6	0x30F2	# KATAKANA LETTER WO
0xA7	0x30A1	# KATAKANA LETTER SMALL A
0xA8	0x30A3	# KATAKANA LETTER SMALL I
0xA9	0x30A5	# KATAKANA LETTER SMALL U
0xAA	0x30A7	# KATAKANA LETTER SMALL E
0xAB	0x30A9	# KATAKANA LETTER SMALL O
0xAC	0x30E3	# KATAKANA LETTER SMALL YA
0xAD	0x30E5	# KATAKANA LETTER SMALL YU
0xAE	0x30E7	# KATAKANA LETTER SMALL YO
0xAF	0x30C3	# KATAKANA LETTER SMALL TU
0xB0	0x30FC	# KATAKANA-HIRAGANA PROLONGED SOUND MARK
0xB1	0x30A2	# KATAKANA LETTER A
0xB2	0x30A4	# KATAKANA LETTER I
0xB3	0x30A6	# KATAKANA LETTER U
0xB4	0x30A8	# KATAKANA LETTER E
0xB5	0x30AA	# KATAKANA LETTER O
0xB6	0x30AB	# KATAKANA LETTER KA
0xB7	0x30AD	# KATAKANA LETTER KI
0xB8	0x30AF	# KATAKANA LETTER KU
0xB9	0x30B1	# KATAKANA LETTER KE
0xBA	0x30B3	# KATAKANA LETTER KO
0xBB	0x30B5	# KATAKANA LETTER SA
0xBC	0x30B7	# KATAKANA LETTER SI
0xBD	0x30B9	# KATAKANA LETTER SU
0xBE	0x30BB	# KATAKANA LETTER SE
0xBF	0x30BD	# KATAKANA LETTER SO
0xC0	0x30BF	# KATAKANA LETTER TA
0xC1	0x30C1	# KATAKANA LETTER TI
0xC2	0x30C4	# KATAKANA LETTER TU
0xC3	0x30C6	# KATAKANA LETTER TE
0xC4	0x30C8	# KATAKANA LETTER TO
0xC5	0x30CA	# KATAKANA LETTER NA
0xC6	0x30CB	# KATAKANA LETTER NI
0xC7	0x30CC	# KATAKANA LETTER NU
0xC8	0x30CD	# KATAKANA LETTER NE
0xC9	0x30CE	# KATAKANA LETTER NO
0xCA	0x30CF	# KATAKANA LETTER HA
0xCB	0x30D2	# KATAKANA LETTER HI
0xCC	0x30D5	# KATAKANA LETTER HU
0xCD	0x30D8	# KATAKANA LETTER HE
0xCE	0x30DB	# KATAKANA LETTER HO
0xCF	0x30DE	# KATAKANA LETTER MA
0xD0	0x30DF	# KATAKANA LETTER MI
0xD1	0x30E0	# KATAKANA LETTER MU
0xD2	0x30E1	# KATAKANA LETTER ME
0xD3	0x30E2	# KATAKANA LETTER MO
0xD4	0x30E4	# KATAKANA LETTER YA
0xD5	0x30E6	# KATAKANA LETTER YU
0xD6	0x30E8	# KATAKANA LETTER YO
0xD7	0x30E9	# KATAKANA LETTER RA
0xD8	0x30EA	# KATAKANA LETTER RI
0xD9	0x30EB	# KATAKANA LETTER RU
0xDA	0x30EC	# KATAKANA LETTER RE
0xDB	0x30ED	# KATAKANA LETTER RO
0xDC	0x30EF	# KATAKANA LETTER WA
0xDD	0x30F3	# KATAKANA LETTER N
0xDE	0x309B	# KATAKANA-HIRAGANA VOICED SOUND MARK
0xDF	0x309C	# KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
0xE0	0x305F	# HIRAGANA LETTER TA
0xE1	0x3061	# HIRAGANA LETTER TI
0xE2	0x3064	# HIRAGANA LETTER TU
0xE3	0x3066	# HIRAGANA LETTER TE
0xE4	0x3068	# HIRAGANA LETTER TO
0xE5	0x306A	# HIRAGANA LETTER NA
0xE6	0x306B	# HIRAGANA LETTER NI
0xE7	0x306C	# HIRAGANA LETTER NU
0xE8	0x306D	# HIRAGANA LETTER NE
0xE9	0x306E	# HIRAGANA LETTER NO
0xEA	0x306F	# HIRAGANA LETTER HA
0xEB	0x3072	# HIRAGANA LETTER HI
0xEC	0x3075	# HIRAGANA LETTER HU
0xED	0x3078	# HIRAGANA LETTER HE
0xEE	0x307B	# HIRAGANA LETTER HO
0xEF	0x307E	# HIRAGANA LETTER MA
0xF0	0x307F	# HIRAGANA LETTER MI
0xF1	0x3080	# HIRAGANA LETTER MU
0xF2	0x3081	# HIRAGANA LETTER ME
0xF3	0x3082	# HIRAGANA LETTER MO
0xF4	0x3084	# HIRAGANA LETTER YA
0xF5	0x3086	# HIRAGANA LETTER YU
0xF6	0x3088	# HIRAGANA LETTER YO
0xF7	0x3089	# HIRAGANA LETTER RA
0xF8	0x308A	# HIRAGANA LETTER RI
0xF9	0x308B	# HIRAGANA LETTER RU
0xFA	0x308C	# HIRAGANA LETTER RE
0xFB	0x308D	# HIRAGANA LETTER RO
0xFC	0x308F	# HIRAGANA LETTER WA
0xFD	0x3093	# HIRAGANA LETTER N
