#	Name:   Map from Spectravideo SVI-328 character set to Unicode
#	Date:   2021 November 21
#	Author: Rebecca Bettencourt <support@kreativekorp.com>

0x00	0x0020	# SPACE
0xC8	0x1FB7E	# RIGHT AND UPPER ONE EIGHTH BLOCK
0xC9	0x1FB7C	# LEFT AND LOWER ONE EIGHTH BLOCK
0xCA	0x1FB7F	# RIGHT AND LOWER ONE EIGHTH BLOCK
0xCB	0x2581	# LOWER ONE EIGHTH BLOCK
0xCC	0x2550	# BOX DRAWINGS DOUBLE HORIZONTAL
0xCD	0x2598	# QUADRANT UPPER LEFT
0xCE	0x2594	# UPPER ONE EIGHTH BLOCK
0xCF	0x25A1	# WHITE SQUARE
0xD0	0x250C	# BOX DRAWINGS LIGHT DOWN AND RIGHT
0xD1	0x2597	# QUADRANT LOWER RIGHT
0xD2	0x253C	# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xD3	0x2584	# LOWER HALF BLOCK
0xD4	0x1FB7D	# LEFT AND UPPER ONE EIGHTH BLOCK
0xD5	0x259D	# QUADRANT UPPER RIGHT
0xD6	0x252C	# BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0xD7	0x2534	# BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xD8	0x2596	# QUADRANT LOWER LEFT
0xD9	0x2514	# BOX DRAWINGS LIGHT UP AND RIGHT
0xDA	0x25E3	# BLACK LOWER LEFT TRIANGLE
0xDB	0x2665	# BLACK HEART SUIT
0xDC	0x2571	# BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
0xDD	0x2573	# BOX DRAWINGS LIGHT DIAGONAL CROSS
0xDE	0x2572	# BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
0xDF	0x25CB	# WHITE CIRCLE
0xE0	0x259E	# QUADRANT UPPER RIGHT AND LOWER LEFT
0xE1	0x25CF	# BLACK CIRCLE
0xE2	0x256E	# BOX DRAWINGS LIGHT ARC DOWN AND LEFT
0xE3	0x2570	# BOX DRAWINGS LIGHT ARC UP AND RIGHT
0xE4	0x256F	# BOX DRAWINGS LIGHT ARC UP AND LEFT
0xE5	0x258F	# LEFT ONE EIGHTH BLOCK
0xE6	0x2663	# BLACK CLUB SUIT
0xE7	0x2666	# BLACK DIAMOND SUIT
0xE8	0x2595	# RIGHT ONE EIGHTH BLOCK
0xE9	0x2588	# FULL BLOCK
0xEA	0x25E4	# BLACK UPPER LEFT TRIANGLE
0xEB	0x1FB8F	# LOWER HALF MEDIUM SHADE
0xEC	0x25E2	# BLACK LOWER RIGHT TRIANGLE
0xED	0x1FB8C	# LEFT HALF MEDIUM SHADE
0xEE	0x256D	# BOX DRAWINGS LIGHT ARC DOWN AND RIGHT
0xEF	0x2660	# BLACK SPADE SUIT
0xF0	0x25E5	# BLACK UPPER RIGHT TRIANGLE
0xF1	0x2500	# BOX DRAWINGS LIGHT HORIZONTAL
0xF2	0x2592	# MEDIUM SHADE
0xF3	0x2502	# BOX DRAWINGS LIGHT VERTICAL
0xF4	0x2192	# RIGHTWARDS ARROW
0xF5	0x2190	# LEFTWARDS ARROW
0xF6	0x2191	# UPWARDS ARROW
0xF7	0x2193	# DOWNWARDS ARROW

# 0xF8 - 0xFF contain duplicates of the characters "J.Suzuki".
# Jey Suzuki wrote the MSX BIOS together with Rick Yamashita.
# He is also mentioned in an advertisement for an MSX BASIC
# compiler in MSX-DOS Computer Magazine issue 25.
